Date,code,open,high,low,close,volume,dividends,stock splits
2010-06-29,1398.HK,3.674,3.693,3.531,3.5869999999999997,280360929,0.0,0.0
2010-06-29,1928.HK,7.718,7.8229999999999995,7.626,7.678999999999999,4183400,0.0,0.0
2010-06-29,2318.HK,27.784000000000002,27.784000000000002,26.392,26.725,23646042,0.0,0.0
2010-06-30,0001.HK,44.052,44.052,43.141999999999996,43.286,6059655,0.0,0.0
2010-06-30,0011.HK,67.947,67.947,66.92,67.176,1447717,0.0,0.0
2010-06-30,0027.HK,4.055,4.093,3.969,4.0360000000000005,6291777,0.0,0.0
2010-06-30,1398.HK,3.5439999999999996,3.575,3.525,3.562,288530752,0.0,0.0
2010-06-30,1928.HK,7.522,7.7829999999999995,7.496,7.653,7917890,0.0,0.0
2010-06-30,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-02,0001.HK,43.141999999999996,43.788000000000004,43.141999999999996,43.525,5521314,0.0,0.0
2010-07-02,0011.HK,67.305,67.562,66.663,66.984,1179548,0.0,0.0
2010-07-02,0027.HK,4.0360000000000005,4.074,3.722,3.76,11108500,0.0,0.0
2010-07-02,1398.HK,3.575,3.668,3.475,3.5,331786746,0.0,0.0
2010-07-02,1928.HK,7.522,7.535,7.247000000000001,7.312,14256733,0.0,0.0
2010-07-02,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-05,0001.HK,43.428999999999995,43.908,43.428999999999995,43.86,2844338,0.0,0.0
2010-07-05,0011.HK,67.433,67.626,66.791,67.562,590043,0.0,0.0
2010-07-05,0027.HK,3.76,3.76,3.645,3.693,3856000,0.0,0.0
2010-07-05,1398.HK,3.463,3.5,3.463,3.475,208682799,0.0,0.0
2010-07-05,1928.HK,7.207999999999999,7.483,7.129,7.234,6321400,0.0,0.0
2010-07-05,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-06,0001.HK,43.669,44.1,43.645,44.076,2675641,0.0,0.0
2010-07-06,0011.HK,67.176,67.819,67.112,67.75399999999999,864844,0.0,0.0
2010-07-06,0027.HK,3.75,3.8930000000000002,3.7119999999999997,3.826,7458000,0.0,0.0
2010-07-06,1398.HK,3.463,3.531,3.463,3.531,193933146,0.0,0.0
2010-07-06,1928.HK,7.142,7.234,7.051,7.207999999999999,10693600,0.0,0.0
2010-07-06,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-07,0001.HK,44.052,44.052,43.141999999999996,43.381,4164429,0.0,0.0
2010-07-07,0011.HK,67.498,67.69,67.112,67.433,916197,0.0,0.0
2010-07-07,0027.HK,3.8739999999999997,4.045,3.8739999999999997,3.988,13087000,0.0,0.0
2010-07-07,1398.HK,3.4810000000000003,3.5,3.463,3.4810000000000003,233433862,0.0,0.0
2010-07-07,1928.HK,7.26,7.3260000000000005,7.155,7.2860000000000005,6960224,0.0,0.0
2010-07-07,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-08,0001.HK,44.195,44.195,43.381,43.525,2871592,0.0,0.0
2010-07-08,0011.HK,67.305,67.819,67.305,67.562,928479,0.0,0.0
2010-07-08,0027.HK,4.074,4.159,4.0360000000000005,4.093,6766000,0.0,0.0
2010-07-08,1398.HK,3.4810000000000003,3.5439999999999996,3.4810000000000003,3.5,199393393,0.0,0.0
2010-07-08,1928.HK,7.5089999999999995,7.6,7.443,7.522,8144831,0.0,0.0
2010-07-08,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-09,0001.HK,43.908,44.674,43.74100000000001,44.507,5477212,0.0,0.0
2010-07-09,0011.HK,67.819,67.819,67.176,67.69,712456,0.0,0.0
2010-07-09,0027.HK,4.14,4.169,3.95,3.96,7084600,0.0,0.0
2010-07-09,1398.HK,3.5189999999999997,3.575,3.4939999999999998,3.562,293740036,0.0,0.0
2010-07-09,1928.HK,7.522,7.6129999999999995,7.417000000000001,7.496,5199140,0.0,0.0
2010-07-09,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-12,0001.HK,44.507,44.626000000000005,44.1,44.266999999999996,4046569,0.0,0.0
2010-07-12,0011.HK,67.819,67.819,67.498,67.75399999999999,391695,0.0,0.0
2010-07-12,0027.HK,3.969,4.14,3.969,4.14,6322500,0.0,0.0
2010-07-12,1398.HK,3.6,3.6430000000000002,3.575,3.6310000000000002,337007313,0.0,0.0
2010-07-12,1928.HK,7.574,7.678999999999999,7.456,7.522,2103017,0.0,0.0
2010-07-12,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-13,0001.HK,44.266999999999996,44.531000000000006,44.028,44.411,2158963,0.0,0.0
2010-07-13,0011.HK,67.75399999999999,67.947,67.626,67.75399999999999,500439,0.0,0.0
2010-07-13,0027.HK,4.14,4.169,4.045,4.064,1807000,0.0,0.0
2010-07-13,1398.HK,3.6310000000000002,3.674,3.6180000000000003,3.637,248660201,0.0,0.0
2010-07-13,1928.HK,7.6,7.638999999999999,7.43,7.574,2468200,0.0,0.0
2010-07-13,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-14,0001.HK,44.435,44.77,44.291000000000004,44.435,3094095,0.0,0.0
2010-07-14,0011.HK,68.07600000000001,68.204,67.819,68.14,756394,0.0,0.0
2010-07-14,0027.HK,4.169,4.178,4.064,4.131,5418000,0.0,0.0
2010-07-14,1398.HK,3.693,3.705,3.637,3.662,246950146,0.0,0.0
2010-07-14,1928.HK,7.6,7.914,7.6,7.744,9535656,0.0,0.0
2010-07-14,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-15,0001.HK,44.218999999999994,44.578,43.717,43.931999999999995,4154519,0.0,0.0
2010-07-15,0011.HK,68.07600000000001,68.268,67.369,67.69,1029135,0.0,0.0
2010-07-15,0027.HK,4.074,4.14,4.026,4.055,4861000,0.0,0.0
2010-07-15,1398.HK,3.662,3.687,3.556,3.575,255217476,0.0,0.0
2010-07-15,1928.HK,7.8229999999999995,7.8229999999999995,7.666,7.718,6226916,0.0,0.0
2010-07-15,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-16,0001.HK,43.717,43.931999999999995,43.428999999999995,43.597,3735961,0.0,0.0
2010-07-16,0011.HK,68.01100000000001,68.14,67.69,68.01100000000001,876323,0.0,0.0
2010-07-16,0027.HK,4.14,4.14,4.026,4.093,2495000,0.0,0.0
2010-07-16,1398.HK,3.593,3.6,3.5439999999999996,3.5439999999999996,195043950,0.0,0.0
2010-07-16,1928.HK,7.796,7.952999999999999,7.7829999999999995,7.94,8205600,0.0,0.0
2010-07-16,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-19,0001.HK,42.974,43.357,42.974,43.262,2418107,0.0,0.0
2010-07-19,0011.HK,67.69,67.75399999999999,67.433,67.626,1085347,0.0,0.0
2010-07-19,0027.HK,4.074,4.093,3.998,4.083,1174000,0.0,0.0
2010-07-19,1398.HK,3.5189999999999997,3.55,3.512,3.531,141214777,0.0,0.0
2010-07-19,1928.HK,7.849,7.901,7.666,7.731,1482800,0.0,0.0
2010-07-19,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-20,0001.HK,43.214,43.931999999999995,43.166000000000004,43.717,4850013,0.0,0.0
2010-07-20,0011.HK,67.562,67.75399999999999,67.369,67.433,1739708,0.0,0.0
2010-07-20,0027.HK,4.0360000000000005,4.14,4.0360000000000005,4.102,2497500,0.0,0.0
2010-07-20,1398.HK,3.531,3.612,3.531,3.575,191225064,0.0,0.0
2010-07-20,1928.HK,7.81,7.836,7.653,7.731,7331200,0.0,0.0
2010-07-20,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-21,0001.HK,43.573,43.931999999999995,43.501000000000005,43.74100000000001,2957240,0.0,0.0
2010-07-21,0011.HK,67.433,67.562,67.176,67.305,1908415,0.0,0.0
2010-07-21,0027.HK,4.102,4.321000000000001,4.102,4.283,7288121,0.0,0.0
2010-07-21,1398.HK,3.593,3.612,3.5810000000000004,3.6060000000000003,155587924,0.0,0.0
2010-07-21,1928.HK,7.77,7.888,7.6,7.666,6822400,0.0,0.0
2010-07-21,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-22,0001.HK,43.763999999999996,44.291000000000004,43.573,44.004,3214494,0.0,0.0
2010-07-22,0011.HK,67.433,67.69,67.112,67.562,1040381,0.0,0.0
2010-07-22,0027.HK,4.245,4.55,4.245,4.502,9607182,0.0,0.0
2010-07-22,1398.HK,3.6060000000000003,3.6239999999999997,3.593,3.6239999999999997,117100216,0.0,0.0
2010-07-22,1928.HK,7.666,7.836,7.638999999999999,7.731,2582860,0.0,0.0
2010-07-22,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-23,0001.HK,44.507,44.626000000000005,44.17100000000001,44.483000000000004,6018317,0.0,0.0
2010-07-23,0011.HK,68.01100000000001,68.01100000000001,67.433,67.562,1449844,0.0,0.0
2010-07-23,0027.HK,4.569,4.626,4.426,4.445,6750220,0.0,0.0
2010-07-23,1398.HK,3.662,3.662,3.662,3.662,0,0.0,0.0
2010-07-23,1928.HK,7.914,7.94,7.757000000000001,7.849,11210359,0.0,0.0
2010-07-23,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-26,0001.HK,44.961999999999996,45.129,44.746,45.056999999999995,6570842,0.0,0.0
2010-07-26,0011.HK,68.07600000000001,68.07600000000001,67.69,67.947,1089850,0.0,0.0
