code,in_time,out_time
002431,2012-01-04,2014-06-16
002450,2013-07-01,2019-06-17
002456,2013-12-16,
002460,2017-12-11,
002463,2020-06-15,
002465,2014-06-16,2018-06-11
002466,2016-12-12,
002468,2017-12-11,
002470,2014-06-16,2018-12-17
002475,2014-06-16,
002493,2011-07-01,2013-01-04
002493,2018-06-11,
002498,2011-07-01,2012-07-02
002500,2011-07-01,2018-12-17
002508,2017-06-12,
002555,2017-06-12,
002558,2017-06-12,
002568,2016-06-13,2017-06-12
002570,2012-07-02,2015-12-14
002572,2017-12-11,2019-06-17
002594,2012-01-04,
002601,2017-12-11,
002602,2017-06-12,
002603,2012-01-04,2015-06-15
002607,2019-12-16,
002608,2017-12-11,2018-12-17
002624,2017-12-11,
002625,2018-06-11,2019-12-16
002653,2013-12-16,2015-12-14
002673,2013-01-04,
002714,2016-12-12,
002736,2015-06-15,
002739,2015-12-14,2018-12-17
002739,2019-06-17,
002773,2018-12-17,
002797,2016-12-12,2019-06-17
002831,2017-06-12,2018-06-11
002839,2017-06-12,2018-06-11
002841,2017-06-12,2018-06-11
002841,2019-12-16,
002916,2019-12-16,
002925,2018-06-11,2019-12-16
002938,2019-06-17,
002939,2019-06-17,
002945,2019-06-17,
002958,2019-12-16,
003816,2020-06-15,
300002,2015-06-15,2017-06-12
300003,2015-05-20,2016-12-12
300003,2017-12-11,
300014,2020-06-15,
300015,2017-12-11,
300015,2014-12-15,2017-06-12
300017,2014-12-15,2020-06-15
300024,2014-12-15,2020-06-15
300027,2014-12-15,2018-12-17
300033,2016-12-12,
300058,2014-12-15,2017-06-12
300059,2015-06-15,
300070,2014-12-15,2020-06-15
300072,2016-12-12,2019-12-16
300085,2016-06-13,2017-06-12
300104,2015-06-15,2017-12-11
300122,2017-12-11,
300124,2014-12-15,
300133,2014-12-15,2017-12-11
300136,2017-12-11,
300142,2018-12-17,
300144,2015-12-14,
300146,2014-12-15,2017-06-12
300168,2016-06-13,2017-12-11
300182,2016-12-12,2017-06-12
300251,2014-12-15,2019-12-16
300296,2018-12-17,2019-12-16
300315,2015-12-14,2018-06-11
300347,2019-12-16,
300408,2018-06-11,
300413,2019-06-17,
300433,2018-06-11,
300498,2019-06-17,
300601,2020-06-15,
300628,2020-06-15,
600000,2005-04-08,
600001,2005-04-08,2009-12-29
600002,2005-04-08,2006-04-24
600003,2007-07-02,2008-01-02
600004,2018-12-17,
600004,2005-04-08,2012-01-04
600005,2015-06-15,2017-02-14
600005,2005-04-08,2013-12-16
600006,2005-04-08,2011-07-01
600007,2005-04-08,2006-07-03
600007,2007-01-04,2009-07-01
600008,2005-04-08,2012-07-02
600008,2013-12-16,2018-12-17
600009,2005-04-08,
600010,2005-04-08,
600011,2012-07-02,2016-12-12
600011,2005-04-08,2011-01-04
600011,2017-12-11,
600012,2005-04-08,2009-01-05
600015,2005-04-08,
600016,2005-04-08,
600017,2007-07-02,2011-07-01
600018,2013-12-16,
600018,2005-04-08,2012-01-04
600019,2005-04-08,
600020,2005-04-08,2009-07-01
600021,2015-12-14,2018-06-11
600021,2005-04-08,2009-07-01
600022,2016-06-13,2016-12-12
600022,2012-07-02,2013-07-01
600022,2005-04-08,2011-01-04
600023,2014-06-16,2020-06-15
600025,2018-06-11,
600026,2005-04-08,2012-07-02
600027,2018-12-17,
600027,2006-01-01,2011-01-04
600027,2013-01-04,2016-12-12
600028,2005-04-08,
600029,2005-04-08,
600030,2005-04-08,
600031,2005-04-08,
600033,2005-04-08,2011-07-01
600035,2005-04-08,2008-07-01
600036,2005-04-08,
600037,2016-06-13,2017-12-11
600037,2005-04-08,2013-07-01
600038,2014-12-15,
600048,2007-01-04,
600050,2005-04-08,
600057,2005-04-08,2007-01-04
600058,2005-04-08,2015-06-15
600060,2013-07-01,2017-12-11
600060,2005-04-08,2008-01-02
600061,2016-06-13,
600062,2009-01-05,2009-07-01
600062,2010-01-04,2014-12-15
600062,2006-01-01,2008-01-02
600066,2007-01-04,
600068,2007-01-04,
600068,2005-04-08,2006-07-03
600072,2005-04-08,2005-07-01
600073,2005-04-08,2007-07-02
600074,2005-04-08,2006-01-01
600074,2016-06-13,2018-06-11
600078,2005-04-08,2008-01-02
600079,2013-12-16,2015-06-15
600085,2005-04-08,
600087,2005-04-08,2011-07-01
600088,2005-04-08,2008-07-01
600089,2005-04-08,2007-07-02
600089,2008-01-02,
600091,2005-04-08,2007-01-04
600096,2005-04-08,2014-12-15
600098,2012-01-04,2012-07-02
600098,2005-04-08,2009-07-01
600098,2016-06-13,2016-12-12
600100,2005-04-08,2020-06-15
600102,2005-04-08,2011-01-04
600103,2005-04-08,2006-07-03
600104,2005-04-08,
600108,2005-04-08,2015-12-14
600109,2008-01-02,
600110,2005-04-08,2010-01-04
600111,2008-01-02,
600115,2011-01-04,
600115,2008-01-02,2009-07-01
600115,2005-04-08,2007-01-04
600117,2005-04-08,2010-01-04
600118,2007-01-04,
600121,2005-04-08,2007-07-02
600123,2005-04-08,2014-12-15
600125,2005-07-01,2013-12-16
600126,2005-04-08,2007-01-04
600132,2006-07-03,2013-12-16
600135,2005-04-08,2006-01-01
600138,2005-04-08,2007-01-04
600143,2006-07-03,2015-06-15
600150,2007-01-04,2017-12-11
600151,2006-07-03,2012-07-02
600153,2005-04-08,2020-06-15
600157,2013-01-04,2019-06-17
600158,2008-01-02,2010-07-01
600160,2007-01-04,2008-01-02
600160,2012-01-04,2014-06-16
600161,2007-01-04,2008-07-01
600161,2010-01-04,2012-07-02
600166,2010-01-04,2016-06-13
600166,2005-04-08,2007-01-04
600169,2008-07-01,2009-01-05
600169,2009-07-01,2013-12-16
600170,2005-04-08,
600171,2005-04-08,2008-01-02
600176,2009-07-01,2010-07-01
600176,2018-06-11,
600177,2005-04-08,
600183,2019-12-16,
600183,2005-04-08,2013-01-04
600188,2005-04-08,
600190,2007-01-04,2008-07-01
600190,2005-04-08,2006-07-03
600196,2005-04-08,
600198,2005-04-08,2007-07-02
600200,2005-07-01,2006-07-03
600200,2007-01-04,2007-10-23
600205,2005-04-08,2007-04-30
600207,2005-04-08,2007-01-04
600208,2007-07-02,
600210,2005-04-08,2011-07-01
600215,2005-04-08,2007-01-04
600216,2009-07-01,2014-12-15
600219,2007-07-02,2014-12-15
600219,2017-12-11,
600220,2005-04-08,2012-01-04
600221,2005-04-08,
600228,2005-04-08,2005-07-01
600231,2005-04-08,2007-03-15
600233,2017-06-12,
600236,2005-04-08,2011-01-04
600239,2010-01-04,2012-01-04
600246,2010-01-04,2011-01-04
600251,2009-01-05,2011-01-04
600252,2012-01-04,2017-06-12
600256,2005-04-08,2017-12-11
600259,2012-01-04,2014-12-15
600266,2005-04-08,2014-06-16
600267,2005-07-01,2007-07-02
600267,2011-07-01,2015-06-15
600269,2005-04-08,2012-01-04
600270,2005-04-08,2010-07-01
600271,2005-04-08,2005-07-01
600271,2006-04-21,
