pair_id,cash_inflow,order_time
451.0,-9.0,2019-07-04 11:34:00
453.0,-1.0,2019-07-04 11:46:00
455.0,-16.0,2019-07-04 11:51:00
457.0,-8.0,2019-07-04 11:58:00
459.0,-4.0,2019-07-04 13:01:00
461.0,-11.0,2019-07-04 13:04:00
463.0,-6.0,2019-07-04 13:09:00
465.0,-9.0,2019-07-04 13:12:00
467.0,-16.0,2019-07-04 13:18:00
469.0,31.0,2019-07-04 13:40:00
471.0,1.0,2019-07-04 13:49:00
473.0,-6.0,2019-07-04 13:50:00
475.0,-7.0,2019-07-04 13:57:00
477.0,-24.0,2019-07-04 14:02:00
479.0,-1.0,2019-07-04 14:15:00
481.0,-17.0,2019-07-04 14:19:00
483.0,19.0,2019-07-04 14:42:00
485.0,25.0,2019-07-04 15:09:00
487.0,-17.0,2019-07-04 15:12:00
489.0,-5.0,2019-07-04 15:22:00
491.0,10.0,2019-07-04 15:36:00
493.0,-1.0,2019-07-04 15:38:00
495.0,36.0,2019-07-04 15:59:00
497.0,-7.0,2019-07-04 16:02:00
499.0,-7.0,2019-07-04 16:10:00
501.0,-17.0,2019-07-04 16:14:00
503.0,1.0,2019-07-04 16:25:00
505.0,17.0,2019-07-04 17:33:00
507.0,3.0,2019-07-04 17:43:00
509.0,3.0,2019-07-04 17:44:00
511.0,1.0,2019-07-04 17:46:00
513.0,-1.0,2019-07-04 17:47:00
515.0,-2.0,2019-07-04 17:48:00
517.0,-6.0,2019-07-04 17:51:00
519.0,-3.0,2019-07-04 17:58:00
521.0,0.0,2019-07-04 18:09:00
523.0,1.0,2019-07-04 18:20:00
525.0,-4.0,2019-07-04 18:33:00
527.0,1.0,2019-07-04 18:52:00
529.0,-2.0,2019-07-04 18:59:00
531.0,-5.0,2019-07-04 19:03:00
533.0,-4.0,2019-07-04 19:12:00
535.0,-11.0,2019-07-04 19:17:00
537.0,-2.0,2019-07-04 19:25:00
539.0,4.0,2019-07-04 19:36:00
541.0,3.0,2019-07-04 19:41:00
543.0,-5.0,2019-07-04 19:53:00
545.0,2.0,2019-07-04 20:05:00
547.0,0.0,2019-07-04 20:07:00
549.0,2.0,2019-07-04 20:13:00
551.0,1.0,2019-07-04 20:14:00
553.0,-2.0,2019-07-04 20:21:00
555.0,-3.0,2019-07-04 20:25:00
557.0,-2.0,2019-07-04 20:36:00
559.0,-4.0,2019-07-04 20:43:00
561.0,-4.0,2019-07-04 20:49:00
563.0,4.0,2019-07-04 21:16:00
565.0,-1.0,2019-07-04 21:28:00
567.0,4.0,2019-07-04 21:42:00
569.0,-3.0,2019-07-04 21:50:00
571.0,-7.0,2019-07-04 21:54:00
573.0,-4.0,2019-07-04 22:02:00
575.0,5.0,2019-07-04 22:15:00
577.0,-10.0,2019-07-04 22:21:00
579.0,-1.0,2019-07-04 22:28:00
581.0,-3.0,2019-07-04 22:29:00
583.0,-6.0,2019-07-04 22:46:00
585.0,1.0,2019-07-04 23:01:00
587.0,8.0,2019-07-04 23:17:00
589.0,-2.0,2019-07-04 23:25:00
591.0,-5.0,2019-07-04 23:32:00
593.0,10.0,2019-07-04 23:51:00
595.0,-1.0,2019-07-04 23:55:00
597.0,-10.0,2019-07-04 23:59:00
