code,time_key,cumulative_cash_inflow,holding
HK_FUTURE.999010,2019-07-03 20:56:00,28553.0,-1
HK_FUTURE.999010,2019-07-03 21:02:00,-29225.0,1
HK_FUTURE.999010,2019-07-03 21:15:00,28545.0,-1
HK_FUTURE.999010,2019-07-03 21:23:00,-29231.0,1
HK_FUTURE.999010,2019-07-03 21:27:00,28531.0,-1
HK_FUTURE.999010,2019-07-03 21:37:00,-29239.0,1
HK_FUTURE.999010,2019-07-03 21:47:00,28531.0,-1
HK_FUTURE.999010,2019-07-03 21:57:00,-29241.0,1
HK_FUTURE.999010,2019-07-03 22:16:00,28551.0,-1
HK_FUTURE.999010,2019-07-03 22:20:00,-29247.0,1
HK_FUTURE.999010,2019-07-03 22:34:00,28571.0,-1
HK_FUTURE.999010,2019-07-03 22:40:00,-29271.0,1
HK_FUTURE.999010,2019-07-03 22:49:00,28569.0,-1
HK_FUTURE.999010,2019-07-03 23:04:00,-29279.0,1
HK_FUTURE.999010,2019-07-03 23:09:00,28559.0,-1
HK_FUTURE.999010,2019-07-03 23:14:00,-29273.0,1
HK_FUTURE.999010,2019-07-03 23:17:00,28553.0,-1
HK_FUTURE.999010,2019-07-03 23:28:00,-29259.0,1
HK_FUTURE.999010,2019-07-03 23:55:00,28613.0,-1
HK_FUTURE.999010,2019-07-03 23:56:00,-29271.0,1
HK_FUTURE.999010,2019-07-04 00:08:00,28601.0,-1
HK_FUTURE.999010,2019-07-04 00:16:00,-29269.0,1
HK_FUTURE.999010,2019-07-04 00:24:00,28603.0,-1
HK_FUTURE.999010,2019-07-04 00:28:00,-29273.0,1
HK_FUTURE.999010,2019-07-04 00:36:00,28601.0,-1
HK_FUTURE.999010,2019-07-04 00:40:00,-29277.0,1
HK_FUTURE.999010,2019-07-04 00:47:00,28575.0,-1
HK_FUTURE.999010,2019-07-04 00:53:00,-29303.0,1
HK_FUTURE.999010,2019-07-04 01:08:00,28617.0,-1
HK_FUTURE.999010,2019-07-04 01:12:00,-29315.0,1
HK_FUTURE.999010,2019-07-04 01:22:00,28627.0,-1
HK_FUTURE.999010,2019-07-04 01:23:00,-29317.0,1
HK_FUTURE.999010,2019-07-04 01:31:00,28619.0,-1
HK_FUTURE.999010,2019-07-04 01:37:00,-29331.0,1
HK_FUTURE.999010,2019-07-04 01:42:00,28615.0,-1
HK_FUTURE.999010,2019-07-04 01:46:00,-29325.0,1
HK_FUTURE.999010,2019-07-04 01:48:00,28613.0,-1
HK_FUTURE.999010,2019-07-04 01:53:00,-29333.0,1
HK_FUTURE.999010,2019-07-04 02:02:00,28609.0,-1
HK_FUTURE.999010,2019-07-04 02:14:00,-29339.0,1
HK_FUTURE.999010,2019-07-04 02:21:00,28601.0,-1
HK_FUTURE.999010,2019-07-04 02:28:00,-29341.0,1
HK_FUTURE.999010,2019-07-04 02:35:00,28605.0,-1
HK_FUTURE.999010,2019-07-04 02:37:00,-29349.0,1
HK_FUTURE.999010,2019-07-04 02:59:00,28629.0,-1
HK_FUTURE.999010,2019-07-04 09:30:00,-29233.0,1
HK_FUTURE.999010,2019-07-04 09:41:00,28697.0,-1
HK_FUTURE.999010,2019-07-04 09:44:00,-29283.0,1
HK_FUTURE.999010,2019-07-04 09:53:00,28659.0,-1
HK_FUTURE.999010,2019-07-04 10:02:00,-29291.0,1
HK_FUTURE.999010,2019-07-04 10:09:00,28709.0,-1
HK_FUTURE.999010,2019-07-04 10:11:00,-29307.0,1
HK_FUTURE.999010,2019-07-04 10:28:00,28749.0,-1
HK_FUTURE.999010,2019-07-04 10:42:00,-29277.0,1
HK_FUTURE.999010,2019-07-04 10:47:00,28627.0,-1
HK_FUTURE.999010,2019-07-04 11:01:00,-29247.0,1
HK_FUTURE.999010,2019-07-04 11:02:00,28599.0,-1
